profile,category,repetition,duration_ms,uncompressed_bytes,compressed_bytes,succeeded,error
"jit-fdd","clean",1,17827.431,165687,81471,True,""
"jit-fdd","incremental",1,11507.015,165687,81471,True,""
"jit-fdd","clean",2,11589.069,165687,81471,True,""
"jit-fdd","incremental",2,11678.753,165687,81471,True,""
"jit-fdd","clean",3,9568.421,165687,81471,True,""
"jit-fdd","incremental",3,12210.903,165687,81471,True,""
"jit-scd","clean",1,25258.583,109703386,48156909,True,""
"jit-scd","incremental",1,13551.936,109703386,48156909,True,""
"jit-scd","clean",2,28450.405,109703386,48156909,True,""
"jit-scd","incremental",2,16853.632,109703386,48156909,True,""
"jit-scd","clean",3,28524.632,109703386,48156909,True,""
"jit-scd","incremental",3,14551.687,109703386,48156909,True,""
"r2r-scd","clean",1,25812.370,109745882,48177185,True,""
"r2r-scd","incremental",1,14695.861,109745882,48177185,True,""
"r2r-scd","clean",2,28200.916,109745882,48177185,True,""
"r2r-scd","incremental",2,11956.967,109745882,48177185,True,""
"r2r-scd","clean",3,20553.785,109745882,48177185,True,""
"r2r-scd","incremental",3,13786.706,109745882,48177185,True,""
"native-aot","clean",1,94617.202,28306209,10865327,True,""
"native-aot","incremental",1,14296.350,28306209,10865327,True,""
"native-aot","clean",2,98144.648,28306209,10865327,True,""
"native-aot","incremental",2,13398.425,28306209,10865327,True,""
"native-aot","clean",3,104398.964,28306209,10865327,True,""
"native-aot","incremental",3,13096.808,28306209,10865327,True,""
