profile,repetition,execution_order,duration_ms,succeeded,error
"r2r-scd",8,1,384.249,True,""
"jit-fdd",28,2,740.426,True,""
"jit-fdd",14,3,535.472,True,""
"native-aot",13,4,63.135,True,""
"jit-scd",24,5,590.655,True,""
"jit-scd",17,6,532.545,True,""
"jit-scd",7,7,750.665,True,""
"native-aot",23,8,69.634,True,""
"jit-fdd",7,9,582.990,True,""
"jit-scd",10,10,657.533,True,""
"jit-scd",26,11,609.583,True,""
"jit-fdd",18,12,725.840,True,""
"native-aot",11,13,89.321,True,""
"r2r-scd",22,14,904.742,True,""
"native-aot",8,15,114.273,True,""
"r2r-scd",1,16,664.735,True,""
"jit-scd",18,17,494.391,True,""
"r2r-scd",26,18,496.392,True,""
"r2r-scd",17,19,488.846,True,""
"jit-scd",12,20,410.003,True,""
"jit-fdd",24,21,367.616,True,""
"jit-fdd",22,22,420.984,True,""
"jit-fdd",23,23,535.272,True,""
"r2r-scd",12,24,725.677,True,""
"jit-fdd",25,25,716.770,True,""
"r2r-scd",3,26,729.319,True,""
"jit-scd",4,27,913.341,True,""
"jit-scd",11,28,849.368,True,""
"jit-fdd",12,29,650.958,True,""
"jit-fdd",13,30,731.630,True,""
"jit-fdd",8,31,831.308,True,""
"r2r-scd",21,32,916.630,True,""
"jit-scd",19,33,643.266,True,""
"native-aot",1,34,55.161,True,""
"jit-scd",1,35,595.328,True,""
"native-aot",24,36,44.381,True,""
"r2r-scd",27,37,450.933,True,""
"r2r-scd",7,38,511.180,True,""
"jit-fdd",6,39,509.972,True,""
"native-aot",5,40,50.530,True,""
"jit-fdd",17,41,524.317,True,""
"jit-fdd",20,42,592.298,True,""
"jit-scd",20,43,632.498,True,""
"native-aot",28,44,69.180,True,""
"native-aot",7,45,81.116,True,""
"r2r-scd",25,46,588.681,True,""
"r2r-scd",14,47,506.659,True,""
"jit-scd",2,48,719.914,True,""
"jit-scd",27,49,905.719,True,""
"native-aot",10,50,64.095,True,""
"r2r-scd",2,51,677.467,True,""
"jit-scd",13,52,665.588,True,""
"native-aot",16,53,59.580,True,""
"native-aot",3,54,94.215,True,""
"jit-scd",3,55,634.216,True,""
"jit-scd",21,56,711.978,True,""
"jit-scd",15,57,710.143,True,""
"native-aot",6,58,58.135,True,""
"r2r-scd",20,59,878.766,True,""
"native-aot",29,60,83.224,True,""
"r2r-scd",28,61,655.591,True,""
"native-aot",4,62,69.374,True,""
"jit-scd",29,63,832.020,True,""
"r2r-scd",23,64,566.655,True,""
"native-aot",19,65,58.233,True,""
"jit-scd",8,66,618.498,True,""
"jit-fdd",19,67,712.388,True,""
"native-aot",2,68,65.457,True,""
"jit-fdd",1,69,1089.901,True,""
"jit-fdd",4,70,805.589,True,""
"jit-scd",25,71,751.510,True,""
"native-aot",18,72,45.121,True,""
"jit-scd",14,73,751.828,True,""
"native-aot",17,74,74.512,True,""
"native-aot",21,75,86.498,True,""
"native-aot",20,76,82.639,True,""
"r2r-scd",9,77,524.013,True,""
"native-aot",25,78,58.849,True,""
"native-aot",22,79,55.708,True,""
"jit-fdd",5,80,486.036,True,""
"r2r-scd",15,81,443.126,True,""
"jit-fdd",26,82,470.853,True,""
"native-aot",9,83,39.596,True,""
"jit-fdd",27,84,577.047,True,""
"jit-fdd",3,85,502.560,True,""
"jit-fdd",15,86,633.967,True,""
"native-aot",30,87,66.000,True,""
"jit-fdd",16,88,659.242,True,""
"r2r-scd",29,89,687.881,True,""
"r2r-scd",18,90,600.419,True,""
"jit-fdd",2,91,488.735,True,""
"r2r-scd",6,92,441.822,True,""
"jit-fdd",21,93,487.541,True,""
"r2r-scd",11,94,566.082,True,""
"r2r-scd",19,95,626.368,True,""
"r2r-scd",13,96,599.287,True,""
"jit-fdd",30,97,632.725,True,""
"native-aot",27,98,48.493,True,""
"native-aot",14,99,63.492,True,""
"r2r-scd",4,100,851.404,True,""
"jit-fdd",11,101,730.663,True,""
"native-aot",26,102,47.327,True,""
"native-aot",12,103,73.057,True,""
"jit-scd",9,104,530.764,True,""
"jit-fdd",9,105,514.922,True,""
"r2r-scd",10,106,639.028,True,""
"native-aot",15,107,62.351,True,""
"jit-scd",22,108,669.822,True,""
"jit-scd",30,109,546.398,True,""
"r2r-scd",5,110,536.216,True,""
"r2r-scd",24,111,581.885,True,""
"r2r-scd",30,112,580.326,True,""
"jit-scd",23,113,550.102,True,""
"jit-scd",5,114,456.863,True,""
"jit-scd",28,115,474.162,True,""
"jit-fdd",10,116,469.632,True,""
"r2r-scd",16,117,575.394,True,""
"jit-fdd",29,118,787.783,True,""
"jit-scd",16,119,486.409,True,""
"jit-scd",6,120,500.855,True,""
